time,temp,m/z,abundance
0.0,32.82,0.0,58.8
0.2,33.622,5.0,58.8
0.22,33.622,6.0,0.0
0.24,33.622,7.0,0.0
0.42,33.622,12.0,35411.8
0.44,33.622,13.0,5823.5
0.46,33.889,14.0,19529.4
0.48,33.087,15.0,98470.6
0.5,33.622,16.0,254823.5
0.52,33.087,17.0,1642117.6
0.54,33.622,18.0,5633058.8
0.56,33.354,19.0,224117.6
0.58,33.622,20.0,22352.9
0.62,33.622,21.0,176.5
0.64,33.622,22.0,9470.6
0.66,33.622,23.0,0.0
0.68,32.82,24.0,1294.1
0.7,33.622,25.0,3176.5
0.72,33.622,26.0,29529.4
0.74,33.354,27.0,111823.5
0.76,33.622,28.0,908764.7
0.78,32.82,29.0,40235.3
0.96,33.889,30.0,19529.4
0.98,33.622,31.0,6647.1
1.0,33.354,32.0,18705.9
1.02,33.354,33.0,5058.8
1.04,33.354,34.0,8588.2
1.06,33.622,35.0,235.3
1.08,33.354,36.0,1470.6
1.1,33.622,37.0,2058.8
1.12,33.087,38.0,7000.0
1.14,33.889,39.0,27117.6
1.16,33.622,40.0,14411.8
1.18,34.424,41.0,64235.3
1.2,33.354,42.0,34764.7
1.22,33.622,43.0,27705.9
1.24,33.889,44.0,1603529.4
1.26,33.087,45.0,30647.1
1.28,33.622,46.0,8411.8
1.3,33.354,47.0,7941.2
1.32,33.889,48.0,12705.9
1.34,33.354,49.0,1352.9
1.36,33.354,50.0,6705.9
1.38,32.552,51.0,7000.0
1.4,34.156,52.0,2058.8
1.42,33.354,53.0,3705.9
1.44,33.354,54.0,1705.9
1.46,33.354,55.0,11235.3
1.66,33.622,56.0,23529.4
1.68,33.622,57.0,7882.4
1.7,32.552,58.0,54176.5
1.72,33.354,59.0,2470.6
1.74,33.622,60.0,2000.0
1.76,33.889,61.0,1647.1
1.78,33.622,62.0,529.4
1.8,33.622,63.0,529.4
1.82,33.622,64.0,24764.7
1.84,33.622,65.0,1000.0
1.86,32.82,66.0,2470.6
1.88,33.622,67.0,1117.6
1.9,33.087,68.0,529.4
1.92,33.889,69.0,23705.9
1.94,33.889,70.0,823.5
1.96,33.354,71.0,117.6
1.98,33.354,72.0,2000.0
2.0,33.889,73.0,24941.2
2.02,33.889,74.0,1294.1
2.04,33.622,75.0,58000.0
2.06,32.82,76.0,4823.5
2.08,33.622,77.0,4529.4
2.1,33.622,78.0,7294.1
2.12,32.82,79.0,2352.9
2.14,33.622,80.0,352.9
2.16,33.087,81.0,705.9
2.36,33.622,5.0,0.0
2.38,33.354,6.0,58.8
2.4,33.622,7.0,0.0
2.58,33.354,82.0,7294.1
2.6,33.354,83.0,352.9
2.62,33.889,84.0,176.5
2.64,32.82,85.0,529.4
2.66,33.354,86.0,0.0
2.68,33.622,87.0,235.3
2.7,33.889,88.0,0.0
2.72,33.622,89.0,235.3
2.74,33.354,90.0,176.5
2.76,33.354,91.0,1117.6
2.78,33.622,92.0,411.8
2.8,34.156,93.0,470.6
2.82,33.354,94.0,294.1
2.84,33.622,95.0,235.3
2.86,33.622,96.0,588.2
2.88,33.889,97.0,529.4
2.9,33.622,98.0,176.5
2.92,33.622,99.0,176.5
2.94,33.354,100.0,235.3
2.96,33.889,101.0,470.6
2.98,33.622,102.0,176.5
3.16,33.354,5.0,0.0
3.18,33.622,6.0,117.6
3.2,33.622,7.0,0.0
3.4,33.622,30.0,18529.4
3.42,33.622,31.0,5882.4
3.44,33.622,32.0,19176.5
3.46,33.354,33.0,4941.2
3.48,34.156,34.0,8294.1
3.5,33.622,35.0,588.2
3.52,32.82,36.0,1176.5
3.54,33.354,37.0,2823.5
3.56,33.354,38.0,5176.5
3.58,33.622,39.0,27000.0
3.6,33.087,40.0,14941.2
3.62,33.354,41.0,62294.1
3.64,33.087,42.0,32764.7
3.66,33.889,43.0,26352.9
3.68,33.622,44.0,2328882.4
3.7,33.889,45.0,38941.2
3.72,33.087,46.0,11470.6
3.74,32.82,47.0,7588.2
3.76,33.354,48.0,13294.1
3.78,33.622,49.0,1941.2
3.8,33.087,50.0,7058.8
3.82,33.622,51.0,6000.0
3.84,33.622,52.0,2529.4
3.86,33.622,53.0,2000.0
3.88,33.354,54.0,1705.9
3.9,32.82,55.0,8352.9
4.08,33.622,56.0,24705.9
4.1,33.354,57.0,9588.2
4.12,33.622,58.0,61529.4
